ID_Objectif,ID_Projet,ID_Geo,Nom_Geo_1,Nom_Geo_2,ID_Localite,ID_Tache,Designation,Quantite_Prevue,ID_Materiel
e71d9ea4,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_PBA_HTA,PBA 13C800,11.0,d6344558
1619047d,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_Cable_HTA,ASTER 54mm²,1000.0,e9e0a228
eff2181b,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_Cable_BT,PRC 50mm²,850.0,8e6b4946
51906f15,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_Cable_BT,PRC 70mm²,2500.0,59dc5a38
51986f15,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_DMT,Point Double DMT-CC,2.0,a4425df9
df5aa2f2,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_IACM,IACM,2.0,21f4f4d7
4dcdae7b,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_TFO,Transformateur 160 kVA,2.0,8ae558c8
f2a82435,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_EP,EP,32.0,fbeef696
20e9d511,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_Terre,Mise à la terre,25.0,002f1a3d
397752c4,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_Fouille_HTA,Fouille réseau haute tension,40.0,f03cfc0b
5db8a7cb,P2AE,,ATACORA,Natitingou,ATA_Nat_12,P2AE_Fouille_BT,Fouille réseau basse tension,35.0,e221b25e
f5ca6f93,P2AE,,ATACORA,Natitingou,ATA_Nat_13,P2AE_PBA_BT,PBA 9A200,27.0,2ec17c4d
f543956b,P2AE,,ATACORA,Natitingou,ATA_Nat_13,P2AE_PBA_BT,PBA 9A650,26.0,215ac167
d7eb3f50,P2AE,,ATACORA,Natitingou,ATA_Nat_13,P2AE_PBA_BT,PBA 9C650,6.0,9c6af0a4
03ed326d,P2AE,f64fbc641,ATACORA,Natitingou,ATA_Nat_13,P2AE_Cable_BT,PRC 50mm²,2390.0,8e6b4946
0c7167d5,P2AE,,ATACORA,Natitingou,ATA_Nat_13,P2AE_EP,EP,29.0,fbeef696
0d11c9fe,P2AE,,ATACORA,Natitingou,ATA_Nat_13,P2AE_Terre,Mise à la terre,21.0,002f1a3d
6267864e,P2AE,,ATACORA,Natitingou,ATA_Nat_13,P2AE_Fouille_BT,Fouille réseau basse tension,64.0,e221b25e
