ID_Helper,ID_Objectif,ID_Localite,ID_Tache,Designation,Qte_Prevue,Taches,Poids,Qte_Realisee,Taux_Realisation,Qte_Prevue_Total,Avancement_Pondere,Localite,Nom_Geo_1,Categorie
HC-96,c2fb3dc1,ATA_Nat_06,P2AE_PBA_BT,PBA 9A650,125.0,PBA_BT,0.42,127.0,1.0,265.0,0.1981132075471698,Perma-centre,ATACORA,Travaux BT
HC-97,6e8fd6a9,ATA_Nat_06,P2AE_PBA_BT,PBA 9C650,11.0,PBA_BT,0.42,11.0,1.0,265.0,0.01743396226415094,Perma-centre,ATACORA,Travaux BT
HC-98,0d18dab7,ATA_Nat_06,P2AE_PBA_HTA,PBA 11A1250,3.0,PBA_HTA,0.3,3.0,1.0,65.0,0.013846153846153847,Perma-centre,ATACORA,Travaux HTA
HC-99,76a20db1,ATA_Nat_06,P2AE_PBA_HTA,PBA 12A800,53.0,PBA_HTA,0.3,3.0,0.05660377358490566,65.0,0.013846153846153847,Perma-centre,ATACORA,Travaux HTA
HC-100,7325b66c,ATA_Nat_06,P2AE_PBA_HTA,PBA 13C800,6.0,PBA_HTA,0.3,2.0,0.3333333333333333,65.0,0.00923076923076923,Perma-centre,ATACORA,Travaux HTA
HC-101,be3e8bf4,ATA_Nat_06,P2AE_Cable_HTA,ASTER 54mm²,250.0,Cable_HTA,0.3333,180.15,0.7206,250.0,0.24017597999999998,Perma-centre,ATACORA,Travaux HTA
HC-102,4a2b6e8d,ATA_Nat_06,P2AE_Cable_BT,PRC 50mm²,6965.0,Cable_BT,0.3111,3356.0,0.48183776022972,14221.0,0.07341618732859855,Perma-centre,ATACORA,Travaux BT
HC-103,85df3d66,ATA_Nat_06,P2AE_Cable_BT,PRC 70mm²,7256.0,Cable_BT,0.3111,1784.0,0.24586549062844543,14221.0,0.03902696012938612,Perma-centre,ATACORA,Travaux BT
HC-104,5d06293f,ATA_Nat_06,P2AE_DMT,Point Double DMT-CC,3.0,DMT-CC,0.0833,0.0,0.0,3.0,0.0,Perma-centre,ATACORA,Travaux HTA
HC-105,e26e5ea8,ATA_Nat_06,P2AE_IACM,IACM,3.0,IACM,0.0833,3.0,1.0,3.0,0.0833,Perma-centre,ATACORA,Travaux HTA
HC-106,3496527a,ATA_Nat_06,P2AE_TFO,Transformateur 160 kVA,3.0,TFO,0.1667,0.0,0.0,3.0,0.0,Perma-centre,ATACORA,Travaux HTA
HC-107,14510f08,ATA_Nat_06,P2AE_EP,EP,115.0,EP,0.1556,0.0,0.0,115.0,0.0,Perma-centre,ATACORA,Travaux BT
HC-108,07a256a1,ATA_Nat_06,P2AE_Terre,Mise à la terre,95.0,Terre,0.0667,0.0,0.0,95.0,0.0,Perma-centre,ATACORA,Travaux BT
HC-109,dfe5997c,ATA_Nat_06,P2AE_Fouille_HTA,Fouille réseau haute tension,62.0,Fouille_HTA,0.0333,62.0,1.0,62.0,0.0333,Perma-centre,ATACORA,Travaux HTA
HC-110,2450a8ba,ATA_Nat_06,P2AE_Fouille_BT,Fouille réseau basse tension,268.0,Fouille_BT,0.0467,266.0,0.9925373134328358,268.0,0.04635149253731343,Perma-centre,ATACORA,Travaux BT
HC-111,f382d4c0,ATA_Nat_07,P2AE_PBA_BT,PBA 9A200,29.0,PBA_BT,0.42,26.0,0.896551724137931,49.0,0.22285714285714286,Boriyouré,ATACORA,Travaux BT
