ID_Top_Localite,Rang,ID_Localite,Departement,Commune,Localite,Avancement_HTA_%,Avancement_BT_%,Avancement,Statut
4425246e,45,DON_Oua_03,DONGA,Ouaké,Itchodè,0.1200120012,0.3165615489,0.230472847,En Cours
1b68479e,46,DON_Oua_02,DONGA,Ouaké,Komtcha,0.05455090964,0.343681848,0.217042497,En Cours
cb85ea8c,47,DON_Bas_04,DONGA,Bassila,Tchimbéri,0.0,0.3766409073,0.2116721899,En Cours
1d97ac4a,48,BOR_Par_01,BORGOU,Parakou,Assagbinin-Baka,0.03074153569,0.3397160284,0.2043852006,En Cours
51d81399,49,ALI_Gog_02,ALIBORI,Gogounou,Bagou-Sinkparou,0.0,0.332079755,0.1866288223,En Cours
f44df385,50,ALI_Gog_03,ALIBORI,Gogounou,Bagou-Yankpanou,0.07197752742,0.272273716,0.1845439854,En Cours
2c9bad34,51,DON_Oua_04,DONGA,Ouaké,Talina,0.057148572,0.2510791453,0.1661375542,En Cours
6f531d60,52,DON_Oua_01,DONGA,Ouaké,Bohomdo,0.0214307145,0.2661532989,0.1589648069,En Cours
e2b7b307,53,DON_Djo_02,DONGA,Djougou,Alfa-Kpara,0.0,0.2780214936,0.1562480794,En Cours
4de0fea1,54,DON_Bas_03,DONGA,Bassila,Akaradè,0.0,0.1973716563,0.1109228708,En Cours
c6dc8cba,55,DON_Oua_05,DONGA,Ouaké,Trouncare Bas,0.0,0.0,0.0,Non Démarré
