ID_Helper,ID_Objectif,ID_Localite,Localite,Departement,Commune,ID_Tache,Categorie,Designation,ID_Materiel,Unite,Qte_Prevue,Qte_Realisee,Quantite_Restante,Taux_Realisation,Poids,Qte_Prevue_Total,Avancement_Pondere,Statut,Avancement_HTA_Localite_pct,Avancement_BT_Localite_pct,Avancement_Global_Localite_pct,Nb_Anomalies_Signalees
HC-267,2799ba73,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_Cable_HTA,Travaux HTA,ASTER 54mm²,e9e0a228,m,525.0,0.0,525.0,0.0,0.3333,525.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-270,ffe1b6d0,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_DMT,Travaux HTA,Point Double DMT-CC,a4425df9,U,1.0,0.0,1.0,0.0,0.0833,1.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-273,facd06b3,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_EP,Travaux BT,EP,fbeef696,U,52.0,0.0,52.0,0.0,0.1556,52.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-276,22f0373d,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_Fouille_BT,Travaux BT,Fouille réseau basse tension,e221b25e,U,106.0,37.0,69.0,0.3490566037735849,0.0467,106.0,0.016300943396226415,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-275,5b85268e,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_Fouille_HTA,Travaux HTA,Fouille réseau haute tension,f03cfc0b,U,13.0,3.0,10.0,0.23076923076923078,0.0333,13.0,0.007684615384615386,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-271,1b568b95,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_IACM,Travaux HTA,IACM,21f4f4d7,U,1.0,0.0,1.0,0.0,0.0833,1.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-260,ada7077b,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_PBA_BT,Travaux BT,PBA 9A200,2ec17c4d,U,57.0,34.0,23.0,0.5964912280701754,0.42,105.0,0.13599999999999998,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-261,7695b4ad,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_PBA_BT,Travaux BT,PBA 9A650,215ac167,U,39.0,25.0,14.0,0.6410256410256411,0.42,105.0,0.1,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-262,c363bac0,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_PBA_BT,Travaux BT,PBA 9C650,9c6af0a4,U,9.0,5.0,4.0,0.5555555555555556,0.42,105.0,0.02,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
HC-263,91f40be5,ALI_Gog_03,Bagou-Yankpanou,ALIBORI,Gogounou,P2AE_PBA_HTA,Travaux HTA,PBA 11A1250,058e9b6a,U,1.0,0.0,1.0,0.0,0.3,14.0,0.0,En Cours,7.1977527423071965,27.227371602462398,18.45439854171442,0
