ID_Localite,Localite,Departement,ID_Tache,Date,Jours_Ecoules_Depuis_Debut_Chantier,Quantite_Nette_Jour,Quantite_Cumulee_Realisee,Qte_Prevue_Tache,Quantite_Restante_Tache,Taux_Realisation_Tache,Saisie_Aberrante_Neutralisee
BOR_Par_09,Okédama,BORGOU,P2AE_Fouille_BT,2026-06-21,580,37.0,673.0,758.0,85.0,0.8878627968337731,False
BOR_Par_09,Okédama,BORGOU,P2AE_Fouille_BT,2026-08-02,622,48.0,721.0,758.0,37.0,0.9511873350923483,False
BOR_Par_09,Okédama,BORGOU,P2AE_Fouille_HTA,2026-08-02,622,29.0,29.0,64.0,35.0,0.453125,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_BT,2026-04-12,510,246.0,246.0,782.0,536.0,0.3145780051150895,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_BT,2026-04-20,518,99.0,345.0,782.0,437.0,0.4411764705882353,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_BT,2026-04-27,525,155.0,500.0,782.0,282.0,0.639386189258312,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_BT,2026-05-04,532,61.0,561.0,782.0,221.0,0.717391304347826,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_BT,2026-06-14,573,20.0,581.0,782.0,201.0,0.7429667519181585,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_BT,2026-06-21,580,99.0,680.0,782.0,102.0,0.8695652173913043,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_BT,2026-08-06,626,20.0,700.0,782.0,82.0,0.8951406649616368,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_BT,2026-08-09,629,28.0,728.0,782.0,54.0,0.9309462915601023,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_BT,2026-08-22,642,3.0,731.0,782.0,51.0,0.9347826086956522,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_HTA,2026-06-14,573,10.0,10.0,69.0,59.0,0.14492753623188406,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_HTA,2026-08-06,626,23.0,33.0,69.0,36.0,0.4782608695652174,False
BOR_Par_09,Okédama,BORGOU,P2AE_PBA_HTA,2026-08-09,629,6.0,39.0,69.0,30.0,0.5652173913043478,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_Cable_BT,2026-07-18,607,3758.2000000000003,3758.2000000000003,6370.0,2611.7999999999997,0.5899843014128728,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_Fouille_BT,2026-04-08,506,0.0,0.0,121.0,121.0,0.0,True
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_Fouille_BT,2026-04-16,514,-76.0,0.0,121.0,121.0,0.0,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_Fouille_BT,2026-04-20,518,-2.0,0.0,121.0,121.0,0.0,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_Fouille_BT,2026-04-27,525,-9.0,0.0,121.0,121.0,0.0,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_Fouille_HTA,2026-04-27,525,9.0,9.0,33.0,24.0,0.2727272727272727,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_PBA_BT,2026-04-08,506,65.0,65.0,115.0,50.0,0.5652173913043478,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_PBA_BT,2026-04-16,514,0.0,65.0,115.0,50.0,0.5652173913043478,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_PBA_BT,2026-04-20,518,28.0,93.0,115.0,22.0,0.808695652173913,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_PBA_BT,2026-04-27,525,19.0,112.0,115.0,3.0,0.9739130434782609,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_PBA_BT,2026-07-18,607,9.0,121.0,115.0,0.0,1.0521739130434782,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_PBA_BT,2026-07-24,613,0.0,121.0,115.0,0.0,1.0521739130434782,False
BOR_Tcha_01,Kpakpanin,BORGOU,P2AE_PBA_HTA,2026-04-27,525,9.0,9.0,34.0,25.0,0.2647058823529412,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_Cable_BT,2026-07-18,607,958.0,958.0,1830.0,872.0,0.5234972677595628,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_Fouille_BT,2026-04-08,506,0.0,0.0,30.0,30.0,0.0,True
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_Fouille_BT,2026-04-16,514,-26.0,0.0,30.0,30.0,0.0,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_Fouille_BT,2026-04-20,518,-2.0,0.0,30.0,30.0,0.0,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_Fouille_BT,2026-04-27,525,-1.0,0.0,30.0,30.0,0.0,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_Fouille_HTA,2026-04-27,525,1.0,1.0,13.0,12.0,0.07692307692307693,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_PBA_BT,2026-04-08,506,7.0,7.0,30.0,23.0,0.23333333333333334,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_PBA_BT,2026-04-16,514,0.0,7.0,30.0,23.0,0.23333333333333334,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_PBA_BT,2026-04-20,518,0.0,7.0,30.0,23.0,0.23333333333333334,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_PBA_BT,2026-04-27,525,18.0,25.0,30.0,5.0,0.8333333333333334,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_PBA_BT,2026-07-18,607,2.0,27.0,30.0,3.0,0.9,False
BOR_Tcha_02,Sakana-Kpéba,BORGOU,P2AE_PBA_HTA,2026-04-27,525,1.0,1.0,14.0,13.0,0.07142857142857142,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_Cable_BT,2026-08-01,621,2618.0,2618.0,3258.0,640.0,0.8035604665438919,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_Fouille_BT,2026-04-08,506,64.0,64.0,73.0,9.0,0.8767123287671232,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_Fouille_BT,2026-04-16,514,-37.0,27.0,73.0,46.0,0.3698630136986301,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_Fouille_BT,2026-04-20,518,37.0,64.0,73.0,9.0,0.8767123287671232,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_Fouille_BT,2026-04-27,525,0.0,64.0,73.0,9.0,0.8767123287671232,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_PBA_BT,2026-04-08,506,27.0,27.0,73.0,46.0,0.3698630136986301,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_PBA_BT,2026-04-16,514,0.0,27.0,73.0,46.0,0.3698630136986301,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_PBA_BT,2026-04-20,518,0.0,27.0,73.0,46.0,0.3698630136986301,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_PBA_BT,2026-04-27,525,0.0,27.0,73.0,46.0,0.3698630136986301,False
BOR_Tcha_03,Kpessou,BORGOU,P2AE_PBA_BT,2026-08-01,621,34.0,61.0,73.0,12.0,0.8356164383561644,False
BOR_Tcha_04,Barérou,BORGOU,P2AE_Cable_BT,2026-07-18,607,1112.0,1112.0,1324.0,212.0,0.8398791540785498,False
BOR_Tcha_04,Barérou,BORGOU,P2AE_Fouille_BT,2026-04-08,506,0.0,0.0,25.0,25.0,0.0,True
BOR_Tcha_04,Barérou,BORGOU,P2AE_Fouille_BT,2026-04-16,514,-15.0,0.0,25.0,25.0,0.0,False
BOR_Tcha_04,Barérou,BORGOU,P2AE_Fouille_BT,2026-04-20,518,15.0,0.0,25.0,25.0,0.0,False
BOR_Tcha_04,Barérou,BORGOU,P2AE_Fouille_BT,2026-04-27,525,0.0,0.0,25.0,25.0,0.0,False
BOR_Tcha_04,Barérou,BORGOU,P2AE_PBA_BT,2026-04-08,506,12.0,12.0,25.0,13.0,0.48,False
BOR_Tcha_04,Barérou,BORGOU,P2AE_PBA_BT,2026-04-16,514,0.0,12.0,25.0,13.0,0.48,False
BOR_Tcha_04,Barérou,BORGOU,P2AE_PBA_BT,2026-04-20,518,0.0,12.0,25.0,13.0,0.48,False
BOR_Tcha_04,Barérou,BORGOU,P2AE_PBA_BT,2026-04-27,525,12.0,24.0,25.0,1.0,0.96,False
DON_Bas_01,Partago,DONGA,P2AE_Fouille_BT,2026-07-11,600,77.0,77.0,139.0,62.0,0.5539568345323741,False
DON_Bas_01,Partago,DONGA,P2AE_PBA_BT,2026-07-11,600,38.0,38.0,138.0,100.0,0.2753623188405797,False
DON_Bas_01,Partago,DONGA,P2AE_PBA_BT,2026-07-18,607,1.0,39.0,138.0,99.0,0.2826086956521739,False
DON_Bas_01,Partago,DONGA,P2AE_PBA_BT,2026-08-01,621,25.0,64.0,138.0,74.0,0.463768115942029,False
DON_Bas_01,Partago,DONGA,P2AE_PBA_BT,2026-08-06,626,26.0,90.0,138.0,48.0,0.6521739130434783,False
DON_Bas_01,Partago,DONGA,P2AE_PBA_BT,2026-08-22,642,21.0,111.0,138.0,27.0,0.8043478260869565,False
DON_Bas_01,Partago,DONGA,P2AE_PBA_HTA,2026-08-06,626,3.0,3.0,4.0,1.0,0.75,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_Cable_BT,2026-07-11,600,4694.0,4694.0,10190.0,5496.0,0.4606476938174681,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_Cable_BT,2026-07-18,607,558.98,5252.98,10190.0,4937.02,0.5155034347399411,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_Fouille_BT,2026-04-08,506,213.0,213.0,216.0,3.0,0.9861111111111112,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_Fouille_BT,2026-04-20,518,6.0,219.0,216.0,0.0,1.0138888888888888,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_Fouille_HTA,2026-08-02,622,34.0,34.0,42.0,8.0,0.8095238095238095,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_IACM,2026-08-22,642,2.0,2.0,2.0,0.0,1.0,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_PBA_BT,2026-04-08,506,169.0,169.0,213.0,44.0,0.7934272300469484,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_PBA_BT,2026-04-20,518,0.0,169.0,213.0,44.0,0.7934272300469484,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_PBA_BT,2026-07-11,600,33.0,202.0,213.0,11.0,0.9483568075117371,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_PBA_BT,2026-07-24,613,0.0,202.0,213.0,11.0,0.9483568075117371,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_PBA_BT,2026-08-01,621,9.0,211.0,213.0,2.0,0.9906103286384976,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_PBA_HTA,2026-07-11,600,16.0,16.0,44.0,28.0,0.36363636363636365,False
DON_Bas_02,Oké-Igboélé,DONGA,P2AE_PBA_HTA,2026-08-01,621,18.0,34.0,44.0,10.0,0.7727272727272727,False
